sal_code,pop,pm,pe,pr,pf,ph,pb,pd,pi,pw,pfo,pmig,pu,geom,latitude,longitude
1990017,20,25,100,0,20,5,100,5,100,60,0,0,0,0106000020E6100000010000000103000000010000002F0000002F2BE489A1A83240C8AE7C75590241C0802F4610A6A83240A80661015B0241C0D0E130FEA1A832407F1591085D0241C0F0CC318B96A83240227DFC66610241C031A4AA1394A8324041A1B6B7620241C01F1BF65F8DA83240207A02BC600241C0A0BAFB5B83A83240A756C41B5F0241C0B0F9DF2177A8324081DBD59C5D0241C0208A76AD6EA832409F97E16A5D0241C07094AC326FA83240D8419394590241C0B08914566CA832404FE221BC580241C09F8D899265A8324036624926580241C0AFD7B6605DA832405F67E468580241C0F05C53B84FA83240C7467DAB580241C0AF25596B4EA83240B1A5DB00560241C0517583D348A8324078A52AD5540241C0C0B0A38844A83240F745B9FC530241C0E02BBB8637A8324087C8061E540241C0508193B435A8324098CA1952510241C0900C8FFD2CA83240D0CACA7D520241C0A1D4812D28A83240E163FA02530241C040BBDC3729A8324068334CD54C0241C0C05AE2331FA832406E6F7F0D4C0241C040DCBA7A19A832405F7469244B0241C04071D9C50DA83240F1AD27D14A0241C0112B21340FA8324091946E8A480241C0606FA03C03A832406B19800B470241C0E0F5629AFCA73240DA344C86460241C0C0BDA49EF6A73240F5F05754460241C0E04305A5EDA73240D7D26522460241C0A08471C8EAA732409E9681BE450241C0805212BEE9A73240223710E6440241C0409868F8E5A7324067F8B6F6440241C0C0AFD464DAA732401899F649450241C0C1D7AE15DCA73240E7365FBA430241C0DF5E84F6D8A7324017782D35430241C0B0B349A1D3A73240E0D9626D420241C0C0E91DE8CDA73240BFBB703B420241C0C0746805C4A732407798E3C6410241C040F7F2D0B1A7324008E5A5773E0241C021CAF736C4A732406613E76E380241C09F207A57DFA73240C7B700923B0241C0603F33EB39A83240BF0E1F48460241C0108C194160A83240903E1F8B4B0241C080001D1685A83240F7A6177F520241C0B0EF33039CA832402F05FC91570241C02F2BE489A1A83240C8AE7C75590241C0,-34.01796599,18.65709591
1990059,82,25.6097561,74.3902439,9.756097561,20.73170732,1.219512195,100,0,84.14634146,65.85365854,0,0,19.51219512,0106000020E610000001000000010300000001000000BB000000FF1E8FCF9AB03240E9FFF9695B0341C0B15680D89AB032402044C16B5B0341C0B0D0B6F075B0324091976DEE820341C09FF951BE34B03240092B2BCCC90341C0D0CBEB0CFCAF324018B129CC050441C0317523A8F1AF3240915940D8110441C000DBB3EEECAF32400F84BC951A0441C05004CFFCEBAF3240E1F65965260441C0F0858259EEAF3240D03A7AF42D0441C0D0E12A8E04B03240B8B76C513F0441C0A06AF5FB1CB03240A1AFF1DD490441C051DA642C51B03240605DD4685E0441C050641FD175B032405185224A6C0441C0703BB23BA2B03240D1D35C0E7E0441C0F0403A35CAB032406F049E7E870441C01018CD9FF6B032406F049E7E870441C0E14A5AF10DB13240A9AED229840441C0E0E7CE7931B13240C73BF8637C0441C0A0EA927645B1324050321BF27C0441C09F8707FF68B132404FCA7F9C7E0441C0907E6DD7ADB13240A7D0F178AA0441C081E81F3DF8B1324090FD4F38DA0441C02024C80B60B23240B04FAF10ED0441C00F96530A53B232401F07B309F00441C09F5D89DD4AB23240E86B1427F10441C0B0483EB632B232406F72EB0DF50441C01F92B54E28B23240519F8BE9F60441C0A1D00B8120B23240509F8BE9F60441C0210F62B318B23240D863FBB9F60441C060B2190312B23240B71730C5F80441C0D04CB96702B2324068351958FE0441C0701C08A8F4B13240381B41A9040541C010F904B6EEB13240B89D8B590B0541C0D05BD96BE5B13240602F8D520E0541C020EFDAF4D3B13240900C934B110541C01F6E14C1CEB13240AF9AC556130541C05F85E476C5B132406237E8B5130541C010E09FBFC1B1324038A19C3D170541C0D00B4484BCB1324009F6E5B3190541C040FA776EBBB13240A858A0361A0541C040FA776EBBB1324047AB42121C0541C01F67F2F8B6B13240597689C91F0541C0D040E70DAEB132409F55DA33220541C0A02C9B64A4B1324080431BF2220541C0EFC129559DB13240E9FA1EEB250541C06082C14C93B1324020D824E4280541C0607D2CEC85B132408045A8592D0541C07085455980B1324089D18FF32F0541C04066D84979B132409FDB35C8340541C0506EF1B673B132407045EA4F380541C06FFFE9C46DB13240101F215B3A0541C08007033268B13240E0C2E1953C0541C0E02879BC63B13240C8B575BE3F0541C02F5510AD5CB1324000D2DAD4430541C0415208B459B13240A7EA70FD460541C000BA71CA5DB132405FC32C77500541C0D1A7B2885EB1324099A585DA550541C09F8B4D725AB13240400083195D0541C0A08B4D725AB1324011250A88640541C080798E305BB13240D8CBD2BB690541C000BA71CA5DB1324068D7FC0C700541C0717175C360B132400222867B770541C09085C16C6AB13240912DB0CC7D0541C09F15C3D581B13240A079BDB7860541C07187D2C08AB13240F12355D98C0541C07F960DF69CB1324017B7DA4E910541C090196191ACB13240EAA45D039D0541C05F11CC10C8B13240F7713122AB0541C0E0481BACD7B13240D0DBE5A9AE0541C06018EED8DFB13240E7AB7FCBB40541C06099B40CE5B13240C89E13F4B70541C070A35AE1E9B1324058E449F8BC0541C01F99E03EECB13240E1FF0148C00541C0BF489F98EDB132405665102CC20541C000E43D7BECB13240A9D04830C70541C021753689E6B13240D9AD4E29CA0541C031F980C9D8B1324037167F34CC0541C080A2C41EC2B13240FF40D49ECE0541C0DF4A8DE2B2B1324069F3842DCF0541C04F0DF65EB0B1324009EBA9AFD00541C040E79B328CB1324090BE63BAC80541C0DF60344730B132407E8B5E9EB20541C0D041C2CAFDB03240315FFBE8A50541C0AFAD119BF1B03240603E462AA00541C060B42A10DDB03240809FF13D960541C0A0CD332ED0B03240F0583A7F900541C0402FC03EBAB03240C7CC16ED8A0541C0C15A90C89FB03240DAEB7686810541C0F0313DAD97B032406E26DAD9800541C031E2EB0D6CB0324050D389F26F0541C070A0C73C33B03240972ABB6D5A0541C0513808D52EB0324062ACD367580541C0305EB68E0BB032409869A634480541C0908407BE03B032409FE2B84C400541C030EAD5D2ECAF3240E0BD99E7340541C0B00A3164E3AF3240CE780E37300541C0E01E05DBCAAF324011BEB1AC230541C0208BAD47B1AF324019734241190541C03F5F6081A8AF324090B81AAE150541C07FC4CFF69DAF3240C9268B51100541C090048C9B8BAF324098D30C0C0D0541C06FBC016185AF3240AF0D68BE0A0541C06094EE287AAF3240D84B5598060541C0303FB1416BAF32400EEE410D010541C0BFF6D47065AF3240C1BDAAC7FE0441C0E09104FD5FAF3240D178A653FB0441C0411676E658AF32403F1AC93CF70441C0E165A17253AF3240F0E931F7F40441C090B8F42D48AF324041B3A754F10441C0CF75D3003AAF3240975279C9EC0441C03F101FD338AF32400052A486EC0441C060412CA52BAF3240081E409BE90441C0FFF84FD425AF324007F90727E80441C0DF747DEC1CAF3240F8A7DA55E50441C0BFADEAD515AF3240496CE43EE20441C0204DBC4A11AF3240D839FC84DF0441C03080F3330CAF32407F0ED1B3DC0441C090B6CDA807AF3240B1F5C19CDA0441C0A047254C03AF32400FD77C85DA0441C00093AEEFFCAE324090EE04B4DA0441C0D073AC7BF9AE3240B1F5C19CDA0441C080833F08F0AE3240F8AFF39CD80441C0C06F2E38E2AE324096A494CBD70441C0D1273BD5D8AE3240077F6204D70441C05009914B9DAE324002F964BBBE0441C060E4CCC092AE3240072D9B01BA0441C041CA98C789AE324030E726B8B80441C0D0763E4385AE324092459552B10441C03F811E8177AE3240466E05C1A10441C0C018EF736EAE3240F006170C9D0441C05046FED56DAE3240FF6135D09B0441C0D0E830016DAE3240FF0F92269A0441C05045D91E67AE3240CF997A91940441C00FD15E4059AE324088471369870441C07FAA2CAC49AE3240311369A1780441C01097EE8534AE324028B5D490640441C0709FB5B22FAE3240E914A4DF5F0441C04009C23B17AE3240A0F84815480441C080CA1DE211AE3240066764E1420441C010750C2D0AAE3240BFA5BB623B0441C0B074A28A06AE32407035F2D9370441C06097082B00AE3240A0A35C7A310441C0B0D301E3F5AD32406F945132270441C0D05B2644F2AD3240CFF67393230441C04F155C7EF0AD324038D0F8281D0441C0205722DE27AE3240FF8EEAFF120441C09012D02B3BAE32406FBAFB35FC0341C0D01A188D3DAE32404F55B9FAF80341C0E07690672FAE324067013B13E70341C0801F8DFE28AE324057CC94ABDF0341C08F02E42819AE324060187ACEDA0341C07FC84F1519AE3240DF714FBFDA0341C0206DA97E03AE3240AFB01906CA0341C030428ADE02AE3240B9B30C8AC90341C0D033190FE8AD3240826D4B17B40341C090A3B955DDAD3240110E089DA50341C050CB2E43DCAD324041CD92BE980341C0713774CCDCAD3240788C1DE08B0341C02046E9C8CDAD32404861CF4B830341C0E1626CF8C8AD324020A16725800341C030895BFBBEAD3240B1DC1E8C710341C090BCE7C5ABAD3240875BB67D5F0341C0A1609BDBA4AD3240A0FF626C570341C0D1B4B77A9FAD3240BF75E9E54B0341C0B1D6215599AD3240C9FCAB733E0341C010DBB4CB97AD3240E97232ED320341C0B09C3F458CAD3240B0B606A2260341C000F10BA079AD324067B9A5FB170341C0A092ED0279AD3240D85A3380170341C010A2ACC176AD3240485BA7BA150341C0103A9D1565AD3240FF18A135050341C0EF8A0E924FAD324097093A78EB0241C02166C6874BAD3240E054D890E80241C001C7B2FB36AD3240DA7B28CCD90241C0A01875612FAD324029D96717D10241C0F0800D2A1FAD324008E25A85BE0241C050C69B5016AD32408139B63BB70241C060FB261A12AD3240788A93C3B30241C03010F42C15AD32409197308BAA0241C0EF800D2A1FAD32406061E6A0A30241C050AAF020A3AD3240E864136DC20241C0D044E63EF7AD324090FF829DD50241C010916C851BAE3240C1695080DD0241C0118CB55F41AE3240AAF91F63E50241C05FCA8CA079AE3240E0EF2B2AF00241C0E0C5C659E4AE324060395EEE040341C0FF1E8FCF9AB03240E9FFF9695B0341C0,-34.03282814,18.68586929
1990175,253,22.92490119,84.58498024,1.185770751,13.04347826,3.162055336,100,0,92.88537549,58.89328063,1.581027668,0.790513834,24.11067194,0106000020E6100000010000000103000000010000000F00000080E67680BEAF3240C9594CBD450541C03063BD6AC8AF32400B9422CC490541C04011B5BBA7AF324021961FAE580541C0818BE0899DAF3240D77522935C0541C0B031DCEB6AAF3240F9AA7D49490541C0B10B5BFA6AAF3240D1A7B241490541C090185E9F72AF32403856AF09460541C021A2C4CD7AAF3240583854AF420541C0314B2D9B86AF32406FD7A02F3D0541C03054DD818CAF324070E01D923A0541C0D1DA920192AF3240D95DEF7D380541C09FE3E20396AF3240416033F3360541C0D0CED8FA96AF3240320E474D370541C0AF19521FAAAF3240388F45BE3E0541C080E67680BEAF3240C9594CBD450541C0,-34.04131305,18.68594194
1990182,258,26.35658915,80.23255814,0.387596899,11.24031008,3.875968992,98.0620155,1.162790698,90.69767442,69.76744186,1.937984496,0.775193798,23.64341085,0106000020E61000000100000001030000000100000032000000AF5D8C4E04A632406052A38D2C0241C001C1DA6701A63240C06C21AC2C0241C0919287FAE7A5324007067EB72D0241C0C0DFBC33B8A5324038EFD5AD2F0241C0F0D2071EA1A53240B25F8FA0300241C040D9EE74A0A53240CA4B3F8D2D0241C090ACD38D9FA53240C0BC38382B0241C0300D917A9FA5324078AB0F00290241C02F02A1049CA53240799AF31C290241C0DFBB876A9BA53240974CE176250241C02010C4609BA53240791B295B240241C0A0416E599AA5324050A81050200241C0515D66369AA53240075E310C200241C0B0FCA8499AA5324090137B681F0241C03036430A9BA53240961C30081F0241C020587BD09AA5324031B9F63D1E0241C0E18632709AA53240084225B31C0241C0515D66369AA53240E0DB6F0B1B0241C0B04213009AA53240311976941A0241C040E0683E9CA532408B56FE7A1A0241C02F02A1049CA532400F26195A190241C060C220119CA5324071838402180241C0A03F7F119CA53240C7BE93F8170241C090F3A618A3A53240C0268DBF170241C050EAD71FA6A53240CF1A349B170241C080E406B8AAA532405FFD1464170241C050A8D0E8AAA5324040C18502170241C0B0482A65AFA53240A19E23F7160241C0A02E28CCAEA53240603243E0110241C040C14853B0A5324087DA1310120241C0E1E3E9C2B3A532400601967B120241C030477766BBA5324018EFAC75130241C0B0CE8EB4D1A532405253B6CE130241C0D181053AD7A5324078C01EA1130241C0C0DBAD20DEA53240B6991E68130241C0513DBF8DECA532400A72F39A120241C0E1D0B260F5A53240E8E73BF5110241C020F9566DFCA532408015CDB4110241C00098A3E8FDA53240DFE540A7110241C0216A957FFEA53240965E3CF8130241C061B547E9FEA5324068EDEF92160241C0EFB05246FEA53240E0037BAC160241C06F4506ECFCA53240003CC1E2160241C07064A87BFEA53240D96E7B48190241C030DD1800FFA532405052DF131A0241C02F34472BFEA53240296CDF391A0241C030019D5BFEA53240378598551C0241C050DF709B00A63240A1B9958B1C0241C060CE5ABB01A63240CFF53CF9200241C0AF5D8C4E04A632406052A38D2C0241C0,-34.01664051,18.64769044
1990190,269,13.38289963,72.11895911,22.30483271,6.319702602,6.691449814,39.77695167,1.115241636,68.02973978,31.59851301,0.371747212,0,4.460966543,0106000020E6100000010000000103000000010000001F000000A00C519CDBB23240705F641B5B0441C020BAFB5191B2324078838696A60441C080C37D5173B23240913CD78AC50441C02024C80B60B23240B04FAF10ED0441C081E81F3DF8B1324090FD4F38DA0441C0907E6DD7ADB13240A7D0F178AA0441C09F8707FF68B132404FCA7F9C7E0441C0A0EA927645B1324050321BF27C0441C0E0E7CE7931B13240C73BF8637C0441C0E14A5AF10DB13240A9AED229840441C01018CD9FF6B032406F049E7E870441C0F0403A35CAB032406F049E7E870441C0703BB23BA2B03240D1D35C0E7E0441C050641FD175B032405185224A6C0441C051DA642C51B03240605DD4685E0441C0A06AF5FB1CB03240A1AFF1DD490441C0D0E12A8E04B03240B8B76C513F0441C0F0858259EEAF3240D03A7AF42D0441C05004CFFCEBAF3240E1F65965260441C000DBB3EEECAF32400F84BC951A0441C0317523A8F1AF3240915940D8110441C0D0CBEB0CFCAF324018B129CC050441C09FF951BE34B03240092B2BCCC90341C0B0D0B6F075B0324091976DEE820341C0B15680D89AB032402044C16B5B0341C03FE73E0BD2B13240E0C7FC2F990341C010A8B08C6CB23240C84BD082B70341C020A2C4CD7AB23240A790FB4EBA0341C0B05607C94DB33240788F22B4E30341C0D0985ADA1CB3324010FCC5B8170441C0A00C519CDBB23240705F641B5B0441C0,-34.03198309,18.6935911
1990192,269,23.04832714,82.52788104,0.371747212,15.24163569,4.089219331,98.88475836,0.743494424,93.6802974,68.02973978,0,0,15.24163569,0106000020E6100000010000000103000000010000002B000000F0D2071EA1A53240B25F8FA0300241C0A04D61C157A5324009F0EAA3330241C050DAD5CA55A53240386CB6E02F0241C0402A6BF953A53240EF7171AA2E0241C0FF867F0152A532406180F9CE290241C0EF1C860D51A5324080CC4745280241C0A04CE5BF50A53240581C0BF3260241C03F5AB7A950A53240184A41D8250241C0405AB7A950A53240B0A21648250241C0D030407250A532400779C2AD230241C0D0FD8F9F4FA53240F0EA1224220241C0A00479944FA53240522E4FD81F0241C0203BC13B4FA5324040E80B7A1F0241C0B19396AB4EA532401889DDC51B0241C0D1E334744EA53240CA4CCF721B0241C061EBF34164A53240F78439951A0241C0B072EBEC66A532401632A2701A0241C0B0E38D736BA532400994DA3F1A0241C05F9810D673A53240475FDE021A0241C0F0F28D2582A53240FF5B3B77190241C0318264B383A5324088AAB57C190241C0F05482FD8BA53240409FD808190241C0A1DC85D990A5324051AE79B3180241C0F05C34AB91A5324011273CA3180241C0BFB8C71E96A5324029DB0D89180241C060C220119CA5324071838402180241C02F02A1049CA532400F26195A190241C040E0683E9CA532408B56FE7A1A0241C0B04213009AA53240311976941A0241C0515D66369AA53240E0DB6F0B1B0241C0E18632709AA53240084225B31C0241C020587BD09AA5324031B9F63D1E0241C03036430A9BA53240961C30081F0241C0B0FCA8499AA5324090137B681F0241C0515D66369AA53240075E310C200241C0A0416E599AA5324050A81050200241C02010C4609BA53240791B295B240241C0DFBB876A9BA53240974CE176250241C02F02A1049CA53240799AF31C290241C0300D917A9FA5324078AB0F00290241C090ACD38D9FA53240C0BC38382B0241C040D9EE74A0A53240CA4B3F8D2D0241C0F0D2071EA1A53240B25F8FA0300241C0,-34.01678557,18.6463517
1990205,283,22.2614841,79.85865724,0,8.833922261,0.35335689,99.64664311,0.706713781,88.33922261,72.79151943,0,0,14.8409894,0106000020E6100000010000000103000000010000003F000000C0AD8D8894A53240B2EDDF48E20041C08048D5A984A53240E2A74883F00041C0F0587E507FA532406FA27C25F60041C0011A93427CA53240E8A66AA1F50041C0E0256E786EA532401FA11A4DF30041C0113E245B61A53240A1712D62F10041C0A1ABA8F95EA532402843A827F30041C0C1230D225DA53240290CE766F40041C0B02008955AA53240A0D8F0D8F50041C000108E6B59A5324040E69DB2F60041C0912694BB58A53240B8A8C814F80041C0BF53F55D57A5324098D1700CF90041C000A0346253A5324070429F5DF80041C020D27F1B51A5324070429F5DF80041C0D094342B4DA5324058A5FB99F70041C05065D7EB4DA53240DF14D53CF60041C0EFC595FC4DA53240A80B1E2AF60041C000F33C044AA5324077B80359F50041C070C8B0AB45A53240E0217596F40041C0B00390AF44A532409956C33EF40041C0DFAF4A7543A532404F11FF27F40041C0A0A8A2DB3FA532408FE7307BF30041C0A1C324E539A5324019A9F7E7F10041C0507084FB37A5324030A529F3F00041C080E642D835A5324027F5EF37F00041C08F2AA3CE32A5324058F5EBA7EF0041C03038628B2FA532407FC75396EE0041C0F0A67C5E2AA53240B9ED4B2EED0041C041C10EA826A53240B628AD64EC0041C08051648221A532401F75D0F2EA0041C0308010401FA53240314DB100EC0041C0E039E4781BA5324031C4D63EED0041C0F09A3AB018A5324059A54470EE0041C0EFEE17E616A53240394FE5AFEE0041C01178408314A5324039A5F694EF0041C0903EF10612A53240AFEB7037F20041C03FF8C43F0EA53240907631CDF40041C0BF2870DB0CA532409701403EF60041C06032B9EB01A5324020BBC59BF30041C03F5A5C5DFAA43240AFEB7037F20041C0E0BBEA01F3A432403F51195FF10041C00045139FF0A432405F1E9E5DF20041C030383654EFA43240B041821CF30041C021644124EDA432402A11D780F40041C021644124EDA43240E1EF2671F60041C08038D20AEDA432403AF42A86F90041C08041E3ADE6A432401048BAE0F80041C07FE99D19E3A432409EE25F94F80041C06015A9E9E0A43240F07C6991FA0041C020E59904E0A43240184AEE8FFB0041C09008CC9EDFA43240875B6BA6FD0041C0BFAC969CDCA43240C18F284F010141C0F0193BAEB4A43240C60CD5D9F80041C0B1E489ABC0A432400099BB2EED0041C0B19632E5CDA432402159C34FE00041C0F0C07B19D5A432408844D9A2DF0041C000DD88E2E6A4324017FCA43DD20041C0603C10C107A5324069DBD9E5C80041C070BB88170DA53240C87A0FCFC60041C0A0E312AA48A53240701B3FADD20041C0908F1F6971A5324067FB3122DB0041C0E19FFD4891A532401944919FE10041C0C0AD8D8894A53240B2EDDF48E20041C0,-34.00695902,18.6450151
1990208,286,27.97202797,83.21678322,7.692307692,14.33566434,2.797202797,100,0,78.32167832,77.97202797,0,0,11.18881119,0106000020E610000001000000010300000001000000540000002166C6874BAD3240E054D890E80241C0DF5A5A4533AD32407623F55CEE0241C0B0ABA5D433AD32400898D022F00241C0D050765632AD32404744C201F10241C0103CFF692FAD324060D395F8F10241C051AEB11129AD3240402EC576F30241C04170C68426AD32403127E135F40241C06F6BD3FE25AD324010F7D50BF40241C0801A2D6A24AD3240C1522660F40241C0A098C90521AD3240E016733DF50241C04FED4DFF1EAD32405F7F99B5F50241C0707EAA811BAD32408E6A6375F60241C091929C2816AD324047552A73F60241C0400884540CAD32402F165622F70241C0C0A0AAEE03AD3240E9A2DD58F80241C0B0D8891901AD3240176A48CDF80241C0501E606404AD324068275B6EFA0241C070413CAD03AD32404875B131FB0241C0801399DF07AD324070908987FC0241C0802C853304AD3240F9632CF6FE0241C0C01FA6A002AD3240274DA9FCFF0241C0D01E9A1900AD32407F057415010341C0504BF7AAFDAC3240F889175F020341C0504BF7AAFDAC32402E1A8EB4020341C0306D2A92FCAC3240F9CD6696030341C021B239C2FAAC32404FF2225A050341C050B4D332F9AC324088C861D7060341C0801E8754E0AC324028861BEB000341C0700A3360D5AC3240BF94304FFE0241C0303DE04FC7AC324021A9D924FB0241C0604567EFC5AC3240290E87D5FA0241C0D0CDABD2C7AC324081985ED7F90241C040127B4AC9AC32401074D092F80241C07104B417CBAC3240D809FF1AF70241C050068205D2AC324011435928F40241C0200D1AB3D2AC3240E0D07EDEF30241C0B0EA93E6D3AC32409F9EF608F30241C030F61580D3AC324051BBBB08F20241C020B48BA1D0AC3240E7CF4744F10241C0A04F7BF6CEAC3240D156AB5DF00241C0E0D85607CEAC324060DA9243EE0241C0E0D85607CEAC324081E298A9EC0241C02044F95CCFAC3240C96B415CEA0241C0EFC152D4CEAC32409959C75BE80241C0414D365DD0AC3240378E94CAE70241C0DF6A32F7D1AC3240388E94CAE70241C0AFEA93E6D3AC3240D9520253E70241C040DF114DD4AC3240318D908EE60241C020466791D4AC324076BFE505E60241C0714A1A5FD8AC3240906F94F4E40241C0009826D7DAAC32406BD6E938E50241C0F190F14EDCAC3240B92880E3E40241C0012A02C7DEAC3240A7779A5AE30241C0D0C98E71EBAC3240F7344260E10241C0C1688981EDAC3240AF08D414E10241C0E10B65B8ECAC3240E95E2587DE0241C0DF00FF10F2AC3240F78478F9DD0241C0100A47F3F4AC3240C0B1B6A8DD0241C06086B3C0F6AC32404904F757DD0241C0C087B603F8AC324059521D54DD0241C0F02C4120F9AC32404B04F757DD0241C080A16D2DFAAC3240A8DAD4F7DC0241C04116A9D7FDAC32403914676DDC0241C03FA38EAA00AD324002080DFADB0241C00059832F00AD324066C53C60DB0241C030ACC21000AD3240B73446CADA0241C05071323700AD3240F37E4C66DA0241C0E0DC25FF00AD32406093DB0DDA0241C0B0921F6301AD32401772F3C0D90241C0F02E713A02AD3240C940967FD90241C04FDE2D2103AD324069E1FC2AD90241C0EF4921E903AD3240BEE0FDF8D80241C0C028435A05AD32402197F1AFD80241C0806B1DB207AD3240C137585BD80241C0E008632F07AD32407064912BD70241C0015BB34909AD324068ED4701D70241C0F07E9C3D0BAD32408022C0C3D60241C0D05DBEAE0CAD32401FC3266FD60241C0706E32D50CAD3240684BDE12D60241C070C9B6550EAD3240B0D395B6D50241C0EFEDC74117AD3240AF781136D40241C0A01875612FAD324029D96717D10241C001C7B2FB36AD3240DA7B28CCD90241C02166C6874BAD3240E054D890E80241C0,-34.02279606,18.67588415
1990209,288,23.95833333,77.77777778,0.347222222,13.88888889,3.472222222,100,2.777777778,97.56944444,61.45833333,2.083333333,2.083333333,8.680555556,0106000020E6100000010000000103000000010000005A0000004107117BB1AA3240E1611B30C90241C0105CB13BB4AA3240305FB15BCB0241C0F0D9AB1DB2AA3240D02717C8CB0241C060200C6CB0AA3240A022DB1ACD0241C0AFE82EB4B3AA324057B1E747D00241C060F220C6B6AA324072DBF483D40241C0D0D33EFFB8AA32408723F639D90241C0806F955FBAAA3240491B0D94DF0241C0DFA62FF3B9AA324048A20B3BE30241C0F0B42C41C1AA324008FAC0F8E30241C0F0B42C41C1AA3240798B37FAE40241C0E021294FC4AA3240A7ACCA44E50241C0D08ED1CAD5AA3240F05896EFE60241C0C01601E3D3AA3240E11E9287E90241C021FB06BED3AA324057880FCBEA0241C0B00CCCACD3AA3240198DD861EB0241C09112F33ACFAA324091324007F50241C0E18A09B3CEAA324036932F2EF60241C050FAB0F5C4AA3240184FF68FF80241C03154CF0DC3AA3240108C4D35F70241C090755DA4C2AA324026B73E56F70241C0101FCDA2C1AA32407F7DFF6FF70241C0714D805CC0AA3240B0E0DF7CF70241C060C43520BDAA32400FE15ADEF60241C0C057A6FFAFAA3240F181DABEF30241C0D0F8BDDBA9AA3240085A5C37F30241C0E1945760A8AA3240B7F783F6F40241C05036C58DA2AA3240701F6A82F80241C0200FCD4E9CAA324018D6F436FC0241C05066410A99AA32406FD306BDFD0241C06033C6E292AA324097DAAA9B000341C040D42C938BAA3240B17DC536030341C050B2893188AA32404B16506B040341C0DF83BE6B85AA324019AD24BE020341C01056D9A77EAA32403AC63FE0FF0241C0E051EB567FAA3240C8CECB89FF0241C0003A4C3B82AA324071312777FE0241C0B074956084AA3240C11626ACFD0241C0704B21C084AA3240013F45C9FC0241C030E6205585AA324090D53DDDF90241C05083658384AA324059BCE59EF90241C0700215CD84AA3240B9E9F169F80241C0F17F741C85AA3240D104EB14F80241C0A0DD3C3D85AA324078261C89F60241C0D05B435085AA3240799E5E0DF60241C0906CCF8289AA3240F99D0B28F60241C0502BABE189AA3240883657F8F30241C0B0C3076C8AAA32407A19AD1FF20241C03F189BD78AAA3240700F9CD5F00241C0814E337789AA324078D94EA5F00241C070F952298AAA3240A02CD9CAEE0241C0B084DA888AAA3240E0986D53EE0241C0B184DA888AAA3240F8847BB1EC0241C010BF16598AAA324090BDE292EB0241C02013FF708AAA3240A9175A68EA0241C02047A7798AAA324027D5B3BDE90241C00195F01289AA324060E81DA9E90241C0802CFCD489AA3240303024EDE70241C050C5FFF789AA3240F98A6796E50241C040810A9D90AA32400026100CE60241C08FBE486392AA32400022F317E60241C060C72CA692AA3240C039C0B2E30241C030C045CE92AA3240E9C97C6DE10241C030C045CE92AA3240F0B9446FDD0241C030C045CE92AA32400F11FF8FD70241C030010BAF90AA3240D08C63BCD70241C01002F9268EAA324089A53CDED70241C0208542E38DAA3240D128058CD70241C0E0BD81488DAA3240107A9E21D70241C050DD6AB78CAA3240D88C5C95D60241C0E021E0788DAA3240B035A851D60241C01002F9268EAA3240C1B8F10DD60241C0D0781CF28EAA3240EB5412CFD50241C04F5759B094AA3240B7AC3CC0D40241C0CF8EACBA96AA32408768C5E1D30241C0FFA161EA94AA32409843B880D20241C0002C3AE593AA3240DE3D1CC4D10241C0D18364D692AA3240A81EAB1FD10241C08F77309791AA3240215D7F1AD00241C03F6569DF90AA32407832DD23CF0241C0A001099290AA3240505149BECE0241C0BF7DC30F91AA324020C86562CE0241C0505EDAA091AA324080640515CE0241C00133BBD590AA32408FFA8B36CD0241C08F9DAA6190AA3240E664FCD0CC0241C0CFC02BD08EAA3240D0D6787ECB0241C05064B0339CAA3240D725333CC80241C0F1908F48A1AA3240C064302DC70241C0C04E3A36A7AA3240902F254ECB0241C04107117BB1AA3240E1611B30C90241C0,-34.02265804,18.66660989
1990210,289,27.33564014,73.01038062,3.114186851,11.76470588,5.53633218,99.65397924,3.806228374,95.15570934,68.51211073,0.692041522,0.346020761,11.07266436,0106000020E6100000010000000103000000010000000F0000005FF6057DB4AB3240B88A72BA830341C0C00DCC9FA9AB3240FF1D5E5EA00341C090D86E2FA7AB3240C89B668EA00341C0411A8E8E7BAB3240064C5C319D0341C0A0101E0080AB32406A53824C920341C010FC01197EAB324058971DEC910341C0DFC0B79F42AB3240E7ED603B8D0341C07005619C2FAB3240396E532A8B0341C0B0F0D93A38AB32408A3515A2760341C0DFE24CB343AB3240F0943178770341C0801F454C72AB324029A0A0DF7A0341C09073263D71AB3240202429817E0341C01F7F20E884AB3240E0EB17F17F0341C0DFD235C3A8AB324027A1F7D0820341C05FF6057DB4AB3240B88A72BA830341C0,-34.02764558,18.66977273
