idd,x,y,cc,year,month,day,dayn,hour,min
36884,18.65562858,-34.02652723,V,2016,1,1,6,2,30
36888,18.65631899,-34.01599842,V,2016,1,1,6,2,45
36891,18.65390242,-34.0108206,S,2016,1,1,6,3,0
36894,18.64794772,-34.00935318,V,2016,1,1,6,4,21
36896,18.65476556,-34.0150491,V,2016,1,1,6,6,0
36899,18.64911291,-34.01004384,V,2016,1,1,6,6,30
36901,18.6520039,-34.00987099,V,2016,1,1,6,6,45
36904,18.64732234,-34.01606269,V,2016,1,1,6,7,15
36908,18.65606009,-34.02350667,V,2016,1,1,6,7,30
36911,18.6564916,-34.02143543,V,2016,1,1,6,10,0
36914,18.66546698,-34.02661354,V,2016,1,1,6,10,0
36917,18.6711629,-34.02514641,V,2016,1,1,6,11,0
36920,18.64164769,-34.01608472,V,2016,1,1,6,12,5
36923,18.66589849,-34.02592312,V,2016,1,1,6,16,15
36925,18.67314784,-34.02178064,V,2016,1,1,6,17,0
36929,18.67694512,-34.02549161,V,2016,1,1,6,19,30
36932,18.66520807,-34.02393804,V,2016,1,1,6,20,0
36934,18.67556429,-34.02583682,V,2016,1,1,6,20,0
36938,18.66822864,-34.01832857,V,2016,1,1,6,21,30
36940,18.65310407,-34.02203936,V,2016,1,1,6,22,0
36945,18.65761352,-34.02747655,V,2016,1,2,7,13,0
36948,18.66689091,-34.0181559,V,2016,1,2,7,13,50
36950,18.63591899,-34.00621391,V,2016,1,2,7,16,10
36952,18.65493816,-34.02678614,V,2016,1,2,7,16,15
36956,18.6510331,-34.01461737,V,2016,1,2,7,17,0
36959,18.65096828,-34.0102162,V,2016,1,2,7,17,30
36962,18.65001896,-34.00961209,V,2016,1,2,7,18,0
36965,18.66330931,-34.01509233,V,2016,1,3,1,0,15
36969,18.63662038,-34.00991367,P,2016,1,3,1,1,40
36970,18.64112988,-34.00840386,V,2016,1,3,1,2,0
36974,18.64397796,-34.01694771,V,2016,1,3,1,5,30
36978,18.65286692,-34.0103888,S,2016,1,3,1,5,55
36981,18.65286692,-34.0103888,P,2016,1,3,1,5,55
36984,18.65890805,-34.02626833,V,2016,1,3,1,7,30
36986,18.65890805,-34.02626833,V,2016,1,3,1,7,30
36989,18.67789444,-34.03161904,V,2016,1,3,1,10,0
36992,18.65217651,-34.00969839,V,2016,1,3,1,10,10
36995,18.64932855,-34.01133812,V,2016,1,3,1,11,0
36997,18.65627582,-34.01235226,V,2016,1,3,1,11,15
37000,18.65467926,-34.015308,V,2016,1,3,1,12,0
37005,18.651266,-34.0117937,V,2016,1,3,1,19,15
37006,18.66201491,-34.01919158,V,2016,1,3,1,22,0
37010,18.65476556,-34.02333407,V,2016,1,3,1,22,30
37014,18.64525081,-34.01293485,P,2016,1,4,2,14,15
37017,18.63750533,-34.00969869,V,2016,1,4,2,16,30
37019,18.66037518,-34.02626833,V,2016,1,4,2,19,40
37022,18.65707428,-34.02734719,V,2016,1,4,2,20,40
37025,18.65390233,-34.02739033,V,2016,1,4,2,21,45
37028,18.65511077,-34.01453129,V,2016,1,4,2,22,15
37031,18.66645937,-34.0179833,V,2016,1,4,2,22,20
37035,18.66909165,-34.01945049,V,2016,1,5,3,6,0
37037,18.66289992,-34.02935368,S,2016,1,5,3,6,45
37039,18.67953426,-34.02691566,V,2016,1,5,3,20,0
37044,18.64423655,-34.01619246,V,2016,1,6,4,20,40
37047,18.6454131,-34.009312,V,2016,1,6,4,23,15
37050,18.6432445,-34.01440185,V,2016,1,7,5,8,55
37052,18.6563621,-34.01315062,V,2016,1,7,5,9,0
37055,18.6592749,-34.02613896,V,2016,1,7,5,13,30
37058,18.64548825,-34.01071242,V,2016,1,7,5,18,0
37060,18.64397817,-34.01023774,V,2016,1,7,5,18,0
37064,18.68044054,-34.02941855,V,2016,1,7,5,18,15
37067,18.66617898,-34.0234635,V,2016,1,7,5,18,45
37069,18.64896155,-34.01299916,V,2016,1,8,6,5,15
37072,18.66389196,-34.02799453,V,2016,1,8,6,10,17
37076,18.66477657,-34.02641941,V,2016,1,8,6,10,50
37079,18.65086056,-34.01065878,V,2016,1,8,6,17,45
37083,18.64092509,-34.0149196,V,2016,1,8,6,23,55
37086,18.63788294,-34.01215812,S,2016,1,9,7,0,30
37088,18.64061207,-34.01548061,V,2016,1,9,7,8,0
37090,18.64513307,-34.00735817,V,2016,1,9,7,18,30
37095,18.6364914,-34.00657057,P,2016,1,9,7,22,0
37097,18.64164752,-34.00814504,V,2016,1,9,7,23,0
37100,18.63357926,-34.00719601,P,2016,1,9,7,23,45
37102,18.68095827,-34.02905181,V,2016,1,10,1,1,30
37107,18.66898371,-34.0279082,V,2016,1,10,1,5,20
37110,18.64177703,-34.00810197,V,2016,1,10,1,20,30
37113,18.6553265,-34.02085278,V,2016,1,11,2,4,30
37116,18.66581219,-34.02713135,V,2016,1,11,2,14,15
37118,18.6565779,-34.02799436,V,2016,1,11,2,20,30
37120,18.67055888,-34.02376556,V,2016,1,11,2,21,30
37123,18.67642731,-34.02721765,V,2016,1,12,3,9,30
37126,18.6556287,-34.01522168,V,2016,1,12,3,13,10
37130,18.65290953,-34.02920273,V,2016,1,12,3,15,30
37133,18.64881113,-34.01390563,V,2016,1,12,3,17,30
37137,18.67789444,-34.0247149,V,2016,1,12,3,19,20
37139,18.66831476,-34.02126244,V,2016,1,13,4,1,0
37143,18.66831476,-34.02126244,V,2016,1,13,4,2,10
37146,18.66542383,-34.02242791,V,2016,1,13,4,5,45
37147,18.64976006,-34.00857647,V,2016,1,13,4,9,0
37150,18.64182029,-34.00779975,V,2016,1,13,4,17,35
37154,18.67418346,-34.02333407,V,2016,1,13,4,17,40
37157,18.63474355,-34.00840386,V,2016,1,13,4,20,30
37161,18.63474355,-34.00840386,V,2016,1,13,4,20,30
37163,18.66563958,-34.02695874,V,2016,1,13,4,22,30
37167,18.66538066,-34.02229845,V,2016,1,13,4,22,55
37169,18.6531959,-34.01199279,P,2016,1,14,5,4,0
37171,18.65839023,-34.02790806,V,2016,1,14,5,6,45
37176,18.66350359,-34.02704512,V,2016,1,14,5,6,45
37178,18.65278062,-34.01444499,V,2016,1,14,5,8,0
37182,18.6713355,-34.02600942,V,2016,1,14,5,8,20
37183,18.67267334,-34.02687254,V,2016,1,14,5,17,50
37188,18.66270515,-34.01720663,S,2016,1,14,5,19,0
37190,18.66270515,-34.01720663,V,2016,1,14,5,19,0
37193,18.63841162,-34.00728225,V,2016,1,14,5,20,10
37197,18.67668621,-34.02868478,V,2016,1,14,5,20,30
37198,18.67590949,-34.02428339,V,2016,1,14,5,23,20
37202,18.6522196,-34.01146774,V,2016,1,14,5,23,30
37205,18.65545597,-34.01340936,V,2016,1,14,5,23,30
37207,18.66192861,-34.01962309,V,2016,1,15,6,7,40
37212,18.65964161,-34.02201784,V,2016,1,15,6,10,30
37215,18.66080668,-34.01858747,V,2016,1,15,6,16,30
37217,18.661756,-34.02039981,V,2016,1,15,6,17,0
37220,18.63539152,-34.00797239,V,2016,1,15,6,18,50
37222,18.64889704,-34.01366827,V,2016,1,15,6,19,30
37227,18.65925325,-34.01737925,V,2016,1,15,6,21,0
37228,18.65019157,-34.01211484,V,2016,1,15,6,23,25
37232,18.65114062,-34.01025932,V,2016,1,16,7,10,0
37235,18.65014866,-34.01642972,P,2016,1,16,7,12,0
37237,18.65433405,-34.02324777,V,2016,1,16,7,13,40
37241,18.67530542,-34.02363613,V,2016,1,16,7,19,0
37243,18.66233854,-34.02219057,V,2016,1,16,7,19,0
37247,18.661454,-34.02872813,V,2016,1,16,7,19,30
37250,18.65217651,-34.01271895,V,2016,1,16,7,20,30
37252,18.66224138,-34.02231997,V,2016,1,16,7,20,30
37255,18.66749498,-34.02005445,V,2016,1,16,7,22,0
37258,18.67461497,-34.02393818,V,2016,1,16,7,23,10
37262,18.67487387,-34.02411078,V,2016,1,16,7,23,10
37265,18.65347103,-34.01306416,V,2016,1,17,1,14,20
