sal_code,deviance,res,x,y
1990017,2.793,1,-34.01796599,18.65709591
1990059,9.806,1,-34.03282814,18.68586929
1990175,-0.355,3,-34.04131305,18.68594194
1990182,3.538,1,-34.01664051,18.64769044
1990190,-0.77,5,-34.03198309,18.6935911
1990192,-0.38,3,-34.01678557,18.6463517
1990205,3.549,1,-34.00695902,18.6450151
1990208,-0.824,5,-34.02279606,18.67588415
1990209,6.14,1,-34.02265804,18.66660989
1990210,-0.039,2,-34.02764558,18.66977273
1990212,-0.809,5,-34.00589061,18.63857899
1990216,1.948,1,-34.01839064,18.66146461
1990218,-0.875,5,-34.02666974,18.65136017
1990220,-0.84,5,-34.06240935,18.66871492
1990221,0.688,1,-34.02595526,18.66816888
1990223,-0.001,2,-34.0071096,18.63722261
1990235,-0.65,4,-34.0245755,18.67327761
1990239,-0.439,3,-34.02884966,18.66415726
1990257,-0.303,3,-34.0216068,18.67373464
1990287,-0.505,4,-34.06190861,18.6929708
1990293,1.028,1,-34.01869134,18.66019663
1990308,-0.901,5,-34.06079002,18.66093373
1990310,2.036,1,-34.01651875,18.65003841
1990321,-0.17,2,-34.04386461,18.68791329
1990322,-0.594,4,-34.01689315,18.64508074
1990323,-0.235,3,-34.02502717,18.65534473
1990342,0.137,2,-34.01873156,18.66662553
1990367,0.168,2,-34.01172313,18.63394415
1990369,-0.593,4,-34.02226388,18.65936434
1990392,-0.7,4,-34.06240768,18.67424475
1990406,-0.612,4,-34.0287353,18.67294847
1990425,-0.803,5,-34.04204158,18.68411011
1990461,0.03,2,-34.03161777,18.65251888
1990463,-0.153,2,-34.04340919,18.68568103
1990469,-0.854,5,-34.06047222,18.70087385
1990475,-0.475,3,-34.01767357,18.65770681
1990482,-0.142,2,-34.01804811,18.66525271
1990483,-0.879,5,-34.03994234,18.6855857
1990486,-0.902,5,-34.01853816,18.65070021
1990492,-0.87,5,-34.06187198,18.67056259
1990496,1.369,1,-34.01937972,18.66078863
1990501,-0.544,4,-34.02555242,18.65546305
1990509,-0.853,5,-34.01747435,18.65324148
1990534,-0.052,2,-34.01732741,18.66453022
1990535,-0.845,5,-34.06249393,18.69755785
1990541,-0.786,5,-34.04213071,18.71234713
1990546,-0.862,5,-34.03818809,18.70066884
1990560,2.522,1,-34.02556347,18.66943917
1990573,-0.766,5,-34.02846415,18.67357144
1990598,-0.543,4,-34.02297012,18.65600408
1990599,-0.709,4,-34.02262381,18.6735737
1990609,-0.785,5,-34.02359333,18.6767131
1990610,4.1,1,-34.04622156,18.71348635
1990616,0.03,2,-34.02197863,18.65969001
