id,latitude,longitude
106322385,18.638,-34.006
106041225,18.635,-34.011
106322350,18.653,-34.014
106041213,18.649,-34.014
106041214,18.64,-34.011
106460826,18.643,-34.014
106041221,18.656,-34.024
106041210,18.658,-34.025
106041212,18.658,-34.024
106041222,18.669,-34.024
106041211,18.668,-34.023
106041218,18.663,-34.022
106041205,18.672,-34.029
106041216,18.674,-34.028
109321567,18.695,-34.032
106041319,18.678,-34.042
106041206,18.676,-34.036
106041229,18.685,-34.045
106008397,18.674,-34.037
106041217,18.67,-34.03
106041219,18.66,-34.028
106041209,18.659,-34.027
106041202,18.662,-34.032
106041203,18.656,-34.034
106008265,18.662,-34.038
106041215,18.661,-34.039
106041328,18.672,-34.043
106008326,18.711,-34.043
106041333,18.679,-34.05
106041335,18.661,-34.048
106041329,18.672,-34.06
106322369,18.679,-34.057
106008405,18.664,-34.057
106400742,18.683,-34.062
106008327,18.69,-34.06
110377104,18.696,-34.049
106041320,18.711,-34.049
